No,Brand,Nama Mobil,Tahun,Seri/Varian,Harga Baru (Rp),Harga Second (Rp),Jenis Energi (Bensin/Diesel/Hybrid/Listrik),Konsumsi BBM atau Jarak Tempuh EV,Kategori,Transmisi
1,Toyota,Avanza,2025,1.3 E MT,243000000,215000000,Bensin,14 km/l,MPV,Manual
2,Toyota,Avanza,2025,1.5 G CVT,276000000,245000000,Bensin,15 km/l,MPV,CVT
3,Toyota,Veloz,2025,1.5 Q CVT TSS,337000000,305000000,Bensin,15 km/l,MPV,CVT
4,Toyota,Innova Zenix,2025,2.0 G CVT,434000000,395000000,Bensin,12 km/l,MPV,CVT
5,Toyota,Innova Zenix,2025,2.0 G Hybrid CVT,477000000,435000000,Hybrid,21 km/l,MPV,CVT
6,Toyota,Innova Zenix,2025,2.0 Q Hybrid CVT TSS,633000000,580000000,Hybrid,21 km/l,MPV,CVT
7,Toyota,Fortuner,2025,2.8 GR Sport 4x2 AT,643000000,595000000,Diesel,12 km/l,SUV,Automatic
8,Toyota,Rush,2025,1.5 S AT GR Sport,310000000,275000000,Bensin,12 km/l,SUV,Automatic
9,Toyota,Agya,2025,1.2 G CVT,194000000,170000000,Bensin,19 km/l,Hatchback,CVT
10,Toyota,Calya,2025,1.2 G MT,175000000,150000000,Bensin,16 km/l,MPV,Manual
11,Toyota,Yaris Cross,2025,1.5 S HV CVT TSS,454000000,410000000,Hybrid,27 km/l,SUV,CVT
12,Toyota,bZ4X,2025,Panoramic Roof EV,1190000000,950000000,Listrik,500 km,SUV,Automatic
13,Toyota,Corolla Cross,2025,1.8 Hybrid GR Sport,608000000,530000000,Hybrid,23 km/l,SUV,CVT
14,Toyota,Hilux,2025,Double Cabin 2.4 V AT,532000000,475000000,Diesel,11 km/l,Pickup,Automatic
15,Toyota,Alphard,2025,2.5 HEV CVT,1710000000,1580000000,Hybrid,17 km/l,MPV,CVT
16,Daihatsu,Xenia,2025,1.3 M MT,222000000,195000000,Bensin,14 km/l,MPV,Manual
17,Daihatsu,Xenia,2025,1.5 R CVT ASA,277000000,245000000,Bensin,15 km/l,MPV,CVT
18,Daihatsu,Sigra,2025,1.2 R MT,164000000,140000000,Bensin,16 km/l,MPV,Manual
19,Daihatsu,Ayla,2025,1.0 M MT,136000000,115000000,Bensin,20 km/l,Hatchback,Manual
20,Daihatsu,Ayla,2025,1.2 R CVT,174000000,150000000,Bensin,18 km/l,Hatchback,CVT
21,Daihatsu,Terios,2025,1.5 R AT Custom,306000000,270000000,Bensin,12 km/l,SUV,Automatic
22,Daihatsu,Rocky,2025,1.0 R TC CVT ASA,274000000,235000000,Bensin,16 km/l,SUV,CVT
